education,marital_status,income,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,complain,response,age,cust_since,acc_camp,total_spent,household_size,cluster
2,0,65324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,60,5,0,544,2,1
1,0,40689,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,63,15,0,444,2,1
1,1,18589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,45,17,0,75,2,0
1,0,53359,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,38,13,0,257,3,3
1,0,38360,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,25,12,0,131,2,0
2,0,84618,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,49,7,1,1672,1,2
2,1,10979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,25,1,0,30,2,0
2,0,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,51,13,0,318,1,0
1,0,40548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,0,44,20,1,120,2,3
2,1,46610,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,1,62,19,0,302,4,3
2,0,68657,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,68,16,0,1196,1,2
2,1,49389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,63,9,0,65,4,3
2,0,67353,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,44,5,0,913,2,1
0,0,23718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,38,9,0,81,2,0
1,1,42429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,41,4,0,67,3,3
2,1,48948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,0,1,71,16,1,902,2,5
1,0,80011,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,34,13,0,1395,2,2
2,0,20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,29,15,0,53,2,0
1,0,21994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,57,18,0,22,2,3
2,0,7500,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,39,8,0,31,2,0
1,1,79941,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,38,0,0,984,2,2
0,0,7500,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,1,18,19,0,122,1,0
1,0,41728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,46,13,0,55,2,0
2,0,72550,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,60,19,0,1319,3,1
1,1,65486,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,57,1,0,507,3,1
2,0,79143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,50,22,0,1693,1,2
1,1,35790,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,37,17,0,72,3,0
1,1,82582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,0,1,37,0,2,1617,2,5
1,0,66373,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,36,12,0,606,3,1
2,0,82384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,1,59,19,1,1957,1,5
1,1,70287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,1,48,14,0,1093,2,2
1,1,27938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,26,2,0,29,3,0
2,0,55954,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,46,3,0,518,2,1
2,1,75777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,32,11,2,1438,2,5
1,0,66653,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,39,21,0,612,3,1
1,1,61823,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,62,16,0,884,3,1
2,1,67680,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,63,12,0,606,3,1
1,0,70666,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,66,6,0,1076,1,2
1,0,25721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,1,43,13,0,34,2,0
1,0,32474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,47,1,0,11,3,3
0,1,88194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,0,1,35,3,2,1274,3,5
1,0,69096,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,56,9,0,653,2,1
1,0,74854,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,44,14,0,1562,4,1
2,0,66991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,60,21,0,1253,1,2
1,0,65031,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,55,15,0,863,2,1
2,0,60631,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,0,39,14,1,661,3,1
1,0,28332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,62,1,0,65,1,0
1,1,40246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,37,18,0,13,3,0
2,0,75251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,1,42,22,0,1890,1,5
1,1,75825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,0,1,38,20,1,2209,2,5
0,0,26326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,1,0,38,9,0,18,1,4
1,0,56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,0,1,49,17,1,692,1,1
1,1,29760,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,29,21,0,165,3,0
1,0,26304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,45,12,0,16,2,0
0,0,23559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,41,11,0,79,2,0
2,0,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,51,13,0,318,1,0
1,1,81361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,27,4,0,778,2,2
1,0,29440,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,54,10,0,56,3,3
2,0,36138,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,0,44,11,1,151,3,3
1,1,50388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,57,1,2,372,3,1
1,0,79593,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,41,1,1,1366,1,2
1,0,54178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,47,5,0,194,2,3
2,1,42394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,42,3,0,32,3,0
2,0,23626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,44,1,0,43,2,0
1,0,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,31,1,0,45,2,0
1,1,47916,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,0,54,19,1,606,3,1
1,1,51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,42,14,0,63,4,3
0,0,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,63,6,1,978,1,2
2,0,50150,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,31,12,0,410,1,0
0,1,47823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,54,11,0,72,3,3
2,1,34554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,55,2,0,55,3,3
1,0,85693,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,35,14,0,1169,2,2
2,0,65846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,69,13,0,1120,1,2
1,0,87195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,1,55,1,0,1097,1,2
0,0,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,35,6,0,29,2,0
1,0,49096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,50,9,0,187,3,3
1,0,52413,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,45,16,0,910,3,1
1,1,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,36,18,0,145,3,0
2,0,89058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,54,18,0,850,1,2
1,0,77298,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,35,7,0,969,2,2
2,1,68126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,23,19,1,1820,2,5
2,0,57288,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,0,51,0,1,608,2,1
1,1,86037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,23,17,2,730,2,5
2,0,43974,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,34,18,0,551,2,1
1,1,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,52,9,0,114,4,3
1,0,90765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,44,5,2,1724,1,2
0,0,36550,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,36,16,0,577,2,1
0,0,30753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,47,11,0,81,3,3
1,0,21918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,45,7,0,33,2,0
2,0,56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,61,12,0,660,2,1
2,1,32557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,1,47,4,0,80,3,0
2,0,19510,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,29,9,0,30,3,0
1,1,30992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,38,14,0,43,3,0
1,1,101970,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,31,15,3,1135,2,5
0,0,71488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,49,16,0,559,1,2
1,1,79607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,1,30,14,0,1923,2,2
2,0,54348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,61,0,0,90,3,3
2,0,77376,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,58,1,0,661,3,1
1,0,62998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,62,8,0,463,2,1
2,1,61331,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,56,15,0,632,4,1
1,0,73448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,45,4,0,725,1,2
2,0,41551,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,50,10,0,279,3,3
2,0,62981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,47,15,1,1482,1,2
0,1,9548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,38,22,0,29,3,0
2,0,33762,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,55,11,0,106,4,3
2,1,35860,1,1,37,15,0,8,4,2,20,2,1,1,2,5,0,1,41,1,1,49,4,3
2,1,36921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,49,11,0,38,4,3
2,1,92859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,22,20,0,2077,2,2
2,0,65104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,1,38,7,0,1053,2,1
1,0,86111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,52,14,0,1385,1,2
2,1,68352,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,40,10,0,871,3,1
1,0,41883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,26,15,0,312,2,0
1,0,59809,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,38,20,0,877,3,1
1,0,23957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,1,39,20,0,68,2,0
1,0,38547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,1,0,33,10,0,22,2,4
0,0,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,41,22,0,211,4,3
2,0,49605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,48,0,0,127,1,0
2,0,59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,61,2,0,459,3,1
1,0,65747,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,0,45,3,1,460,2,1
0,0,46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,42,18,0,429,2,1
1,1,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,26,1,0,89,3,0
2,0,61010,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,62,20,0,1021,2,1
1,0,69372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,65,16,2,1381,1,5
1,1,49967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,56,11,0,306,3,3
1,1,60199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,36,9,0,18,5,3
1,0,55375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,37,8,0,162,2,3
1,1,80317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,59,10,0,1231,2,2
2,1,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,56,11,0,13,5,3
2,0,70356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,69,19,0,1706,1,1
1,0,23228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,30,5,0,121,2,0
2,1,74165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,39,13,0,1293,2,1
2,0,157243,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,41,3,0,1608,2,2
1,0,43482,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,48,7,0,88,4,3
1,1,62551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,61,7,1,421,2,2
1,1,52332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,55,10,1,259,2,0
1,1,66951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,26,7,0,1117,2,2
1,0,26091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,57,4,0,89,3,3
1,0,33456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,49,2,0,36,3,3
1,0,28718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,32,11,0,57,2,0
1,0,50447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,44,2,0,148,3,0
2,0,53537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,55,4,0,93,3,3
1,1,52074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,0,0,47,2,1,119,3,3
2,0,80427,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,39,21,0,1835,2,2
2,0,83837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,66,18,2,1318,1,5
2,0,38853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,44,1,0,45,3,3
1,0,38285,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,55,0,0,10,4,3
0,0,78497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,63,6,1,978,1,2
2,0,51650,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,38,1,0,191,2,3
0,0,16248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,26,1,0,57,2,0
2,0,66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,68,9,0,1033,1,2
2,0,30477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,30,5,0,66,2,0
0,0,28249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,53,0,0,43,1,0
1,0,25271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,31,18,0,50,2,0
2,1,32303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,44,3,0,39,3,3
1,0,61286,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,48,10,0,608,2,1
1,0,74068,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,38,15,0,1581,1,2
2,0,45759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,50,16,0,68,3,3
0,0,24882,1,0,52,1,4,10,29,0,36,1,1,1,2,6,0,0,36,21,1,80,2,0
2,0,66973,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,25,13,0,1282,1,2
1,0,38872,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,26,12,0,91,2,0
1,0,51148,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,41,16,0,315,3,3
1,0,31353,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,37,5,0,31,3,3
2,0,69661,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,34,1,0,834,1,1
1,0,80067,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,60,9,1,1600,1,2
1,0,86718,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,60,17,0,1270,1,2
2,1,46854,1,1,81,96,1,79,7,1,79,6,5,1,3,8,0,1,41,2,1,263,4,3
1,1,69142,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,0,62,0,1,535,3,1
1,1,75922,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,46,6,0,1295,2,2
1,1,63693,0,1,63,587,43,337,42,87,54,3,11,6,9,6,0,0,36,8,0,1150,3,1
2,0,102160,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,37,19,3,1240,1,5
2,1,40637,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,0,49,11,0,38,4,3
2,1,18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6,0,1,30,19,1,35,2,0
1,0,29604,1,0,88,7,6,13,7,6,14,1,1,0,3,9,0,0,26,6,1,53,2,0
2,1,48721,1,1,50,81,18,113,47,13,21,6,4,2,5,6,0,0,51,13,0,293,4,3
1,0,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,48,0,0,65,2,3
1,1,64497,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,0,1,60,21,1,1804,3,1
1,0,46097,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,58,14,0,241,2,3
1,0,77972,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,60,3,0,1101,1,2
2,0,44377,1,1,70,224,0,30,0,0,10,8,5,1,5,8,0,0,46,20,0,264,3,3
2,0,46014,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,0,40,17,0,541,3,1
1,0,70951,0,0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,29,13,0,1198,1,2
1,0,41443,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,37,2,0,482,2,0
0,1,52195,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,36,1,0,17,5,3
2,0,83790,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,66,7,2,1615,1,5
2,1,44551,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,60,9,0,285,3,3
1,0,69508,1,0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,34,19,0,1135,2,1
0,0,45204,1,0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,26,2,0,114,2,0
1,0,72460,0,0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,45,7,0,1047,1,2
2,0,77622,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,44,2,0,714,3,1
2,0,30732,1,0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,34,17,0,185,2,0
1,1,63887,0,1,38,897,23,207,15,11,92,5,9,6,12,6,0,0,52,21,0,1245,3,1
1,0,42011,1,0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,36,15,0,189,2,0
1,0,51369,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,38,20,0,576,2,1
1,1,51537,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,62,18,0,1103,3,1
2,0,79930,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,42,22,0,1753,1,2
2,0,34320,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,28,4,0,17,2,0
1,1,37070,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,1,48,15,0,433,4,3
0,1,81975,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,52,17,1,1588,3,2
1,0,38590,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,43,13,0,22,2,0
1,1,15033,0,0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,63,2,0,19,2,0
2,0,62745,0,1,89,562,21,464,28,10,32,3,7,8,11,5,0,0,49,15,0,1117,2,1
0,0,22212,1,0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,39,6,0,69,2,0
2,0,23661,1,0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,32,6,0,23,2,0
2,1,79761,0,1,32,415,5,124,15,35,11,1,5,2,11,3,0,0,56,8,0,605,3,1
1,1,7500,1,0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,41,6,0,57,3,0
1,1,73455,0,0,98,901,61,757,186,163,20,1,6,5,10,3,0,0,46,8,1,2088,2,2
1,0,64961,0,1,97,382,114,276,75,124,38,2,6,4,4,3,0,0,56,18,0,1009,2,2
1,1,22804,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,43,10,0,26,3,0
1,0,73687,0,0,8,559,153,503,218,13,181,1,3,9,9,2,0,1,24,6,1,1627,1,5
1,0,61074,0,1,37,789,0,133,0,28,152,7,11,5,8,7,0,0,56,22,0,1102,2,1
2,0,31686,1,1,31,11,0,5,0,0,1,2,1,0,3,6,0,0,50,0,0,17,3,3
1,0,80134,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,0,1,42,13,3,1690,2,5
1,0,75027,0,1,74,925,64,179,133,12,77,2,9,4,6,5,0,0,61,17,0,1390,2,1
2,0,67546,0,0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,26,21,0,2126,1,2
2,0,65176,0,1,57,960,28,183,220,70,70,4,9,6,6,6,0,0,45,19,0,1531,2,2
2,1,31160,1,0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,39,9,0,64,3,0
1,1,29938,1,0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,29,8,0,26,3,0
1,1,102692,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,40,14,4,1112,2,5
0,0,26490,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,56,21,0,210,1,0
1,0,75702,1,1,77,650,28,353,45,42,30,5,4,6,11,8,0,0,47,21,0,1148,3,1
2,1,30899,1,0,35,24,0,8,0,0,1,2,1,0,3,6,0,0,40,20,0,33,3,0
2,0,63342,0,1,48,918,21,118,13,10,21,3,8,3,5,6,0,0,53,20,1,1101,2,1
1,1,45989,0,1,97,138,33,87,28,24,12,4,3,2,7,3,0,0,50,20,0,322,3,1
1,1,18701,1,1,95,12,4,2,10,6,10,4,2,0,4,5,0,0,50,12,0,44,4,3
2,1,40737,2,1,24,11,0,4,0,0,2,1,1,0,2,8,0,0,57,6,0,17,5,3
1,1,15287,1,0,60,1,2,8,4,3,13,2,1,1,2,7,0,1,35,20,1,31,3,0
2,1,69674,0,2,46,554,41,215,11,0,24,3,10,2,10,5,0,0,46,13,0,845,4,1
2,0,44159,1,0,85,167,2,62,24,13,7,4,4,1,6,5,0,0,44,0,0,275,2,0
2,0,37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,36,19,0,25,2,0
2,0,43776,1,1,9,177,2,71,3,2,20,6,5,2,4,8,0,1,62,16,0,275,3,3
2,0,38179,1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,48,15,0,90,3,3
1,0,80124,0,0,47,483,84,398,205,84,241,1,3,7,8,1,0,0,51,0,1,1495,1,2
2,0,38097,1,1,70,77,2,35,0,1,69,4,3,2,2,7,0,1,44,20,1,184,3,3
1,0,72940,0,0,13,182,74,298,162,149,116,1,3,3,6,1,0,0,44,12,0,981,1,2
1,0,22070,1,0,11,10,7,19,8,2,21,2,2,2,2,6,0,0,44,8,0,67,2,0
1,1,69267,0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,1,61,21,0,1635,2,2
2,1,31788,1,0,15,16,7,23,0,8,6,3,3,0,4,5,1,0,31,3,0,60,3,4
2,0,61905,0,1,2,167,0,43,6,2,13,2,4,2,4,5,0,0,39,4,0,231,2,3
1,0,29315,1,1,55,13,2,14,8,7,4,4,2,0,4,6,0,0,54,2,0,48,3,3
1,1,33378,1,1,38,33,6,40,3,7,10,3,2,0,4,7,0,0,51,16,0,99,4,3
2,0,66313,0,1,86,625,7,99,10,22,7,2,6,3,12,4,0,0,51,9,0,770,2,1
1,1,60714,0,0,56,216,162,224,101,92,162,2,7,4,10,5,0,1,58,17,0,957,2,2
2,0,77882,0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,33,1,0,818,1,2
2,1,69867,0,0,30,196,0,512,33,130,54,1,3,5,8,1,0,1,28,14,1,925,2,5
2,1,63841,0,1,64,635,15,100,20,7,131,1,9,3,9,6,0,0,46,14,0,908,3,1
